Algorithm,Case,Input Size,Execution Time
Bubble Sort,Random,100,0.00024833399999999936
Insertion Sort,Random,100,0.00018112500000000073
Selection Sort,Random,100,0.00011349999999999902
Shell Sort,Random,100,5.4666000000001824e-05
Merge Sort,Random,100,0.00010233299999999959
Quick Sort,Random,100,6.587499999999996e-05
Heap Sort,Random,100,8.937500000000265e-05
Radix Sort,Random,100,7.683399999999785e-05
TimSort,Random,100,5.3339999999992005e-06
Bubble Sort,Random,250,0.0013257089999999978
Insertion Sort,Random,250,0.0005887919999999977
Selection Sort,Random,250,0.000611417000000003
Shell Sort,Random,250,0.00012220799999999865
Merge Sort,Random,250,0.00024670899999999774
Quick Sort,Random,250,0.00015058400000000222
Heap Sort,Random,250,0.00026270899999999986
Radix Sort,Random,250,0.0001748339999999987
TimSort,Random,250,1.0584000000000982e-05
Bubble Sort,Random,500,0.005979208
Insertion Sort,Random,500,0.0030526249999999963
Selection Sort,Random,500,0.002685
Shell Sort,Random,500,0.00037991700000000045
Merge Sort,Random,500,0.0011553330000000014
Quick Sort,Random,500,0.00038849999999999996
Heap Sort,Random,500,0.0006732920000000059
Radix Sort,Random,500,0.00041933399999999343
TimSort,Random,500,2.69170000000013e-05
Bubble Sort,Random,1000,0.028318582999999994
Insertion Sort,Random,1000,0.013975500000000002
Selection Sort,Random,1000,0.01201270900000001
Shell Sort,Random,1000,0.0008138750000000056
Merge Sort,Random,1000,0.0010721669999999989
Quick Sort,Random,1000,0.0007501250000000043
Heap Sort,Random,1000,0.0014482499999999981
Radix Sort,Random,1000,0.0007658749999999992
TimSort,Random,1000,4.749999999999199e-05
Bubble Sort,Random,2500,0.19808312500000003
Insertion Sort,Random,2500,0.07876774999999997
Selection Sort,Random,2500,0.08115316700000003
Shell Sort,Random,2500,0.0029598750000000007
Merge Sort,Random,2500,0.0030774170000000267
Quick Sort,Random,2500,0.002001084000000042
Heap Sort,Random,2500,0.004094249999999966
Radix Sort,Random,2500,0.0019223750000000317
TimSort,Random,2500,0.00015495799999998283
Bubble Sort,Random,5000,0.7059959579999999
Insertion Sort,Random,5000,0.314717916
